===========================================================================
📡 IPTV 酒店源测速报告 | 时间: 2026-04-04 17:02:07
===========================================================================
服务器 (IP:Port)             | 频道              | 速度           | 稳定性
---------------------------------------------------------------------------
112.27.235.94:8000        | 云南卫视            |   0.32 Mbps | 100%
112.27.235.94:8000        | CGTN            |   0.54 Mbps | 100%
111.14.222.117:3333       | 济南娱乐            |   4.05 Mbps |   0%
111.14.222.117:3333       | CCTV4中文国际       |    9.6 Mbps |  77%
120.209.208.163:5080      | Q亳州农村           |    5.6 Mbps |   4%
120.209.208.163:5080      | Q亳州新闻           |   5.07 Mbps |  42%
111.14.186.11:5009        | 山东少儿            |   8.59 Mbps |   0%
111.14.186.11:5009        | CCTV5+体育赛事      |   9.86 Mbps |  84%
120.224.84.170:8085       | 16              |   9.37 Mbps |   0%
120.224.84.170:8085       | 13              |   9.39 Mbps |   0%
223.95.198.3:8000         | CCTV7国防军事       |    8.6 Mbps |   0%
223.95.198.3:8000         | CCTV3           |   8.15 Mbps |   0%
183.221.211.20:808        | CCTV17农业农村      |   9.41 Mbps |   0%
183.221.211.20:808        | 云南卫视            |    8.7 Mbps |   0%
116.228.170.214:888       | 贵州卫视            |   0.45 Mbps | 100%
116.228.170.214:888       | 广东卫视            |   0.24 Mbps | 100%
112.255.253.148:9001      | QTV3            |   1.66 Mbps | 100%
112.255.253.148:9001      | CCTV5+          |   0.92 Mbps | 100%
122.114.131.154:4000      | CCTV2财经         |   2.28 Mbps | 100%
114.252.114.191:8899      | 湖北卫视            |   9.66 Mbps |  95%
114.252.114.191:8899      | 天津卫视            |   9.82 Mbps | 100%
119.166.230.171:8082      | 14              |   4.73 Mbps |   0%
119.166.226.162:8082      | 12              |   8.35 Mbps |  89%
114.252.121.120:8899      | CCTV15音乐        |   9.09 Mbps |  91%
114.252.121.120:8899      | 山东卫视            |   9.83 Mbps |  96%
27.41.244.244:808         | 汕头经济生活          |    3.8 Mbps |   0%
27.41.244.244:808         | 凤凰中文            |   5.68 Mbps |  16%
125.40.199.223:8092       | CCTV8电视剧        |   5.11 Mbps |   4%
125.40.199.223:8092       | 新乡综合频道          |   5.65 Mbps |  45%
123.14.89.116:8888        | CCTV12          |   2.15 Mbps | 100%
123.14.89.116:8888        | 深圳卫视            |   4.43 Mbps | 100%
144.0.23.80:8085          | 9               |   1.13 Mbps | 100%
144.0.23.80:8085          | 22              |   2.28 Mbps | 100%
60.16.0.36:5757           | 吉林卫视            |   7.51 Mbps |   0%
60.16.0.36:5757           | 辽宁体育            |    4.7 Mbps |  27%
221.226.67.66:8199        | 广东卫视            |   0.36 Mbps | 100%
221.226.67.66:8199        | 四川卫视            |   0.63 Mbps | 100%
39.89.8.237:8083          | 5               |   2.42 Mbps | 100%
